variable,componente_modelo,proveedor,identificador,archivo_raw,frecuencia,unidad,primera_fecha,ultima_fecha,observaciones_muestra,meses_muestra,meses_faltantes_muestra,cubre_muestra_completa,transformacion_historica,rezago_pronostico_meses,estado,motivo,fuente_url
balanza_comercial_cambiaria_usd_millones,,BanRep,16702,balanza_comercial_cambiaria_banrep.json,Mensual,Millones de USD,2001-09-01,2026-07-01,244,244,0,True,asinh(x/1000) y primera diferencia,2,activa,Serie verificada y activa.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=16702
flujos_capital_usd_millones,,BanRep,16706,flujos_capital_totales_banrep.json,Mensual,Millones de USD,2001-09-01,2026-07-01,244,244,0,True,asinh(x/1000) y primera diferencia,2,activa,Serie verificada y activa.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=16706
remesas_usd_millones,,BanRep,15363,remesas_mensuales_banrep.json,Mensual,Millones de USD,2000-01-01,2026-06-01,244,244,0,True,"Suma móvil de 12 meses, ln(x) y primera diferencia",2,activa,Serie verificada y activa.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=15363
reservas_netas_sin_flar_usd_millones,,BanRep,15053,reservas_netas_sin_flar_banrep.json,Mensual,Millones de USD,1960-01-01,2026-07-01,244,244,0,True,ln(x) y primera diferencia,2,activa,Serie verificada y activa.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=15053
tasa_politica_colombia_pct,,BanRep,59,tasa_politica_diaria_banrep.json,Diaria,% efectivo anual,1998-02-01,2026-08-01,244,244,0,True,Promedio mensual; diferencia dentro del diferencial de tasas,1,activa,Serie interna ya incorporada.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=59
terminos_intercambio,,BanRep,15360,series_15360_15368.json,Mensual,Índice,1995-01-01,2026-05-01,244,244,0,True,ln(x) y primera diferencia,3,activa,Serie verificada y activa; publicación tardía.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=15360
tes_5y_pesos_colombia_pct,,BanRep,15273,tes_5y_pesos_banrep.json,Diaria,%,2003-01-01,2026-08-01,244,244,0,True,Promedio mensual; diferencial BEI Colombia,1,activa,Curva nominal verificada.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=15273
tes_5y_uvr_colombia_pct,,BanRep,15276,tes_5y_uvr_banrep.json,Diaria,% real,2003-01-01,2026-08-01,244,244,0,True,Promedio mensual; diferencial BEI Colombia,1,activa,Curva real verificada.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=15276
trm_cop_usd,,BanRep,1,trm_diaria_banrep.json,Diaria,COP por USD,1991-11-01,2026-08-01,244,244,0,True,Promedio mensual; variable objetivo,0,activa,Serie objetivo con cobertura completa.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=1
ipc_colombia_indice,ln_ipc_colombia,Banco de la República,15000,ipc_colombia_banrep.json,Mensual,Índice de precios,1954-07-01,2026-07-01,244,244,0,True,ln(x) y primera diferencia; no se interpola ni se rellena el índice,2,activa,Cobertura mensual completa en la muestra del modelo.,https://suameca.banrep.gov.co/graficador-series/rest/graficadorService/consultaSerieParaGraficar?idSerie=15000
ise_total_dane,ln_ise_total_dane,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,activa,Indicador total activo en el bloque de condiciones internas.,https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
