origen_vintage,serie_id,fecha_observacion,valor,realtime_start,realtime_end
2022-05-01,CCUSMA02BRM618N,2022-01-01,5.533504762,2022-05-01,2022-05-01
2022-05-01,CCUSMA02BRM618N,2022-02-01,5.201361111,2022-05-01,2022-05-01
2022-05-01,CCUSMA02CLM618N,2022-01-01,819.8269238,2022-05-01,2022-05-01
2022-05-01,CCUSMA02CLM618N,2022-02-01,806.89199,2022-05-01,2022-05-01
2022-05-01,CCUSMA02CLM618N,2022-03-01,798.4104435,2022-05-01,2022-05-01
2022-05-01,CCUSMA02MXM618N,2022-01-01,20.45195333,2022-05-01,2022-05-01
2022-05-01,CCUSMA02MXM618N,2022-02-01,20.4117995,2022-05-01,2022-05-01
2022-05-01,CCUSMA02MXM618N,2022-03-01,20.49984435,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-03,115.4344,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-04,115.3509,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-05,115.1831,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-06,115.451,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-07,115.0949,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-10,115.2634,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-11,114.889,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-12,114.4078,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-13,114.2313,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-14,114.4295,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-18,114.7828,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-19,114.6541,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-20,114.5125,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-21,114.6534,2022-05-01,2022-05-01
2022-05-01,DTWEXBGS,2022-01-24,115.2276,2022-05-01,2022-05-01
