submuestra,inicio,fin,observaciones,r2,r2_ajustado,factor,grupo,coeficiente,p_valor_hac,coeficientes_terminos,p_valores_terminos,terminos_evaluados,terminos_con_signo_coincidente,signos_terminos,todos_los_terminos_mismo_signo,shapley_r2,peso_entre_factores_pct,rango_peso,signo_coincide_muestra_completa,diferencia_peso_vs_completa_pp
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Términos de intercambio,Sector externo Colombia,0.014818866025542513,0.7322280660728413,D.ln_terminos_intercambio.L0=0.0148188660255,D.ln_terminos_intercambio.L0=0.732228066073,1,1,D.ln_terminos_intercambio.L0=igual,True,0.02767514479746962,4.1459467804774555,7,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Remesas,Sector externo Colombia,0.19704424928876835,0.0571172968252256,D.ln_remesas_12m.L1=0.197044249289,D.ln_remesas_12m.L1=0.0571172968252,1,1,D.ln_remesas_12m.L1=igual,True,0.007819648935005136,1.1714427716205733,11,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Diferencial de tasas,Política doméstica,0.00344860590626238,0.5263794273013872,D.diferencial_tasas_pp.L1=0.00344860590626,D.diferencial_tasas_pp.L1=0.526379427301,1,1,D.diferencial_tasas_pp.L1=igual,True,0.001224055668062622,0.18337283122700812,13,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Déficit fiscal,Política doméstica,-0.00012279767701313892,0.9713630496207072,D.deficit_fiscal_12m_pct_pib.L1=-0.000122797677013,D.deficit_fiscal_12m_pct_pib.L1=0.971363049621,1,1,D.deficit_fiscal_12m_pct_pib.L1=igual,True,0.0005685129545744997,0.0851675563371715,14,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Dólar amplio,Mercados financieros globales,0.20246635841670926,0.2746337959007322,D.ln_dolar_amplio.L0=0.202466358417,D.ln_dolar_amplio.L0=0.274633795901,1,1,D.ln_dolar_amplio.L0=igual,True,0.10086349014757873,15.11011650726062,3,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,VIX,Mercados financieros globales,0.01655872488618192,0.11212948545214291,D.ln_vix.L0=0.0165587248862,D.ln_vix.L0=0.112129485452,1,1,D.ln_vix.L0=igual,True,0.04071978979721002,6.100133627011673,6,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Riesgo soberano EMBIG Colombia,Riesgo local,0.027788934864407915,0.01037729138282507,D.embig_colombia_pp.L0=0.0277889348644,D.embig_colombia_pp.L0=0.0103772913828,1,1,D.embig_colombia_pp.L0=igual,True,0.09425386342658398,14.11994424891813,4,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Reservas internacionales,Sector externo Colombia,-0.2379418863346012,0.04868559473178989,D.ln_reservas_netas_sin_flar.L1=-0.237941886335,D.ln_reservas_netas_sin_flar.L1=0.0486855947318,1,1,D.ln_reservas_netas_sin_flar.L1=igual,True,0.01297283190538606,1.9434286998465193,10,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Balanza comercial cambiaria,Sector externo Colombia,0.05473103077841764,5.6370216742109985e-06,D.asinh_balanza_comercial.L1=0.0547310307784,D.asinh_balanza_comercial.L1=5.63702167421e-06,1,1,D.asinh_balanza_comercial.L1=igual,True,0.04245580912694831,6.360202501218004,5,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Flujos netos de capital,Sector externo Colombia,0.0005988483452402642,0.8379989374971697,D.asinh_flujos_capital.L1=0.00059884834524,D.asinh_flujos_capital.L1=0.837998937497,1,1,D.asinh_flujos_capital.L1=igual,True,0.02195183011881107,3.288550794321194,8,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.0017153993723854639,0.6793067734463312,D.diferencial_bei_5y_pp.L1=-0.00171539937239,D.diferencial_bei_5y_pp.L1=0.679306773446,1,1,D.diferencial_bei_5y_pp.L1=igual,True,0.0020010688524809937,0.29977530477874276,12,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Actividad y precios domésticos,Condiciones internas,,,D.ln_ise_total_dane.L0=-0.210014083656; D.ln_ipc_colombia.L0=-0.707078516611,D.ln_ise_total_dane.L0=0.0187102905457; D.ln_ipc_colombia.L0=0.0561214945716,2,2,D.ln_ise_total_dane.L0=igual; D.ln_ipc_colombia.L0=igual,True,0.013458451716293307,2.016178233997143,9,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,Monedas regionales,Regional,0.01613552608456127,1.4513310794299115e-05,factor_monedas_regionales_4.L0=0.0161355260846,factor_monedas_regionales_4.L0=1.45133107943e-05,1,1,factor_monedas_regionales_4.L0=igual,True,0.15720572481113562,23.550610969628767,1,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6853635128646591,0.6367240559162006,"Condiciones financieras, commodities y actividad internacional",Condiciones financieras y actividad internacional,,,D.yield_real_10y_tips_pct.L0=-285.7870115; D.yield_real_5y_us_pct.L0=-0.0976447182587; D.yield_2y_us_pct.L0=-415.41214832; D.yield_10y_us_pct.L0=701.298524675; D.spread_10y_2y_us_pct.L0=-415.457123878; D.breakeven_5y_us_pct.L0=-0.102132705446; D.breakeven_10y_us_pct.L0=-285.718806617; D.epu_global.L0=-1.85784861292e-05; D.estres_financiero_stl.L0=0.00342000798492; D.nfci_chicago.L0=0.0248208985767; D.anfci_chicago.L0=-0.047635875103; D.ln_brent_global.L0=-0.0144651219724; D.ln_commodities_global.L0=-0.167194937257; D.desempleo_us_pct.L0=-0.0113156315756; D.ln_empleo_manufactura_us.L0=0.0891665542685; D.ln_produccion_industrial_us.L0=-0.579417801629; D.ln_fletes_transporte_us.L0=0.248835261132,D.yield_real_10y_tips_pct.L0=0.311289832555; D.yield_real_5y_us_pct.L0=0.120766817109; D.yield_2y_us_pct.L0=0.105371456476; D.yield_10y_us_pct.L0=0.0303977400212; D.spread_10y_2y_us_pct.L0=0.105335029499; D.breakeven_5y_us_pct.L0=0.098001765255; D.breakeven_10y_us_pct.L0=0.311409469582; D.epu_global.L0=0.531700872682; D.estres_financiero_stl.L0=0.564089958408; D.nfci_chicago.L0=0.607625984636; D.anfci_chicago.L0=0.232692429884; D.ln_brent_global.L0=0.635963983029; D.ln_commodities_global.L0=0.00837591634326; D.desempleo_us_pct.L0=0.0375751819241; D.ln_empleo_manufactura_us.L0=0.876441291917; D.ln_produccion_industrial_us.L0=0.101666289143; D.ln_fletes_transporte_us.L0=0.0584713680303,17,17,D.yield_real_10y_tips_pct.L0=igual; D.yield_real_5y_us_pct.L0=igual; D.yield_2y_us_pct.L0=igual; D.yield_10y_us_pct.L0=igual; D.spread_10y_2y_us_pct.L0=igual; D.breakeven_5y_us_pct.L0=igual; D.breakeven_10y_us_pct.L0=igual; D.epu_global.L0=igual; D.estres_financiero_stl.L0=igual; D.nfci_chicago.L0=igual; D.anfci_chicago.L0=igual; D.ln_brent_global.L0=igual; D.ln_commodities_global.L0=igual; D.desempleo_us_pct.L0=igual; D.ln_empleo_manufactura_us.L0=igual; D.ln_produccion_industrial_us.L0=igual; D.ln_fletes_transporte_us.L0=igual,True,0.1443526925996188,21.62512917335707,2,True,0.0
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Términos de intercambio,Sector externo Colombia,-0.007864014005920468,0.9142735979273565,D.ln_terminos_intercambio.L0=-0.00786401400592,D.ln_terminos_intercambio.L0=0.914273597927,1,0,D.ln_terminos_intercambio.L0=distinto,False,0.034540713205583745,4.863763170214906,8,False,0.7178163897374503
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Remesas,Sector externo Colombia,0.1358936022059079,0.4413209759828121,D.ln_remesas_12m.L1=0.135893602206,D.ln_remesas_12m.L1=0.441320975983,1,1,D.ln_remesas_12m.L1=igual,True,0.004538918225058376,0.6391362901009052,12,True,-0.5323064815196681
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Diferencial de tasas,Política doméstica,-0.006376270767493836,0.5075008865687954,D.diferencial_tasas_pp.L1=-0.00637627076749,D.diferencial_tasas_pp.L1=0.507500886569,1,0,D.diferencial_tasas_pp.L1=distinto,False,0.0020276893225722892,0.2855239435580276,13,False,0.1021511123310195
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Déficit fiscal,Política doméstica,-0.002780313096641325,0.6261400741326512,D.deficit_fiscal_12m_pct_pib.L1=-0.00278031309664,D.deficit_fiscal_12m_pct_pib.L1=0.626140074133,1,1,D.deficit_fiscal_12m_pct_pib.L1=igual,True,0.0017884345499465674,0.25183388787015,14,True,0.1666663315329785
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Dólar amplio,Mercados financieros globales,0.6688759985996078,0.06360536790817756,D.ln_dolar_amplio.L0=0.6688759986,D.ln_dolar_amplio.L0=0.0636053679082,1,1,D.ln_dolar_amplio.L0=igual,True,0.11844130845503209,16.678013290198148,3,True,1.5678967829375274
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,VIX,Mercados financieros globales,0.02689077295346455,0.2518622202955462,D.ln_vix.L0=0.0268907729535,D.ln_vix.L0=0.251862220296,1,1,D.ln_vix.L0=igual,True,0.05102283970679172,7.184652127147017,5,True,1.084518500135344
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Riesgo soberano EMBIG Colombia,Riesgo local,0.01737716806488024,0.3538784911474757,D.embig_colombia_pp.L0=0.0173771680649,D.embig_colombia_pp.L0=0.353878491147,1,1,D.embig_colombia_pp.L0=igual,True,0.0751253268871921,10.578582899823056,4,True,-3.541361349095075
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Reservas internacionales,Sector externo Colombia,-0.16653092619001675,0.3369609951097957,D.ln_reservas_netas_sin_flar.L1=-0.16653092619,D.ln_reservas_netas_sin_flar.L1=0.33696099511,1,1,D.ln_reservas_netas_sin_flar.L1=igual,True,0.016855459683820986,2.373458924813339,9,True,0.43003022496681975
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Balanza comercial cambiaria,Sector externo Colombia,0.05881017188763698,0.012125059310215474,D.asinh_balanza_comercial.L1=0.0588101718876,D.asinh_balanza_comercial.L1=0.0121250593102,1,1,D.asinh_balanza_comercial.L1=igual,True,0.039103751622304776,5.506295884100378,6,True,-0.8539066171176257
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Flujos netos de capital,Sector externo Colombia,-0.00704591004124599,0.25729098670876205,D.asinh_flujos_capital.L1=-0.00704591004125,D.asinh_flujos_capital.L1=0.257290986709,1,0,D.asinh_flujos_capital.L1=distinto,False,0.034629155165339674,4.876216901091921,7,False,1.5876661067707274
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.001257997702973458,0.8198127775981539,D.diferencial_bei_5y_pp.L1=-0.00125799770297,D.diferencial_bei_5y_pp.L1=0.819812777598,1,1,D.diferencial_bei_5y_pp.L1=igual,True,0.0062559425048065356,0.8809147213828002,11,True,0.5811394166040575
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Actividad y precios domésticos,Condiciones internas,,,D.ln_ise_total_dane.L0=0.00551921570631; D.ln_ipc_colombia.L0=-1.34765217095,D.ln_ise_total_dane.L0=0.984272895041; D.ln_ipc_colombia.L0=0.0269642299391,2,1,D.ln_ise_total_dane.L0=distinto; D.ln_ipc_colombia.L0=igual,False,0.008978060660794866,1.2642229047798086,10,False,-0.7519553292173344
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,Monedas regionales,Regional,0.017628536060432888,0.06066062614456339,factor_monedas_regionales_4.L0=0.0176285360604,factor_monedas_regionales_4.L0=0.0606606261446,1,1,factor_monedas_regionales_4.L0=igual,True,0.1375846333290518,19.373632165336616,2,True,-4.176978804292151
Primera mitad,2006-05-01,2016-04-01,120,0.7101643726632898,0.608063185760585,"Condiciones financieras, commodities y actividad internacional",Condiciones financieras y actividad internacional,,,D.yield_real_10y_tips_pct.L0=-98.0600015131; D.yield_real_5y_us_pct.L0=-0.0390593056003; D.yield_2y_us_pct.L0=-599.776797409; D.yield_10y_us_pct.L0=697.851430287; D.spread_10y_2y_us_pct.L0=-599.777943675; D.breakeven_5y_us_pct.L0=-0.0426862206433; D.breakeven_10y_us_pct.L0=-97.9599083313; D.epu_global.L0=-0.000201873011672; D.estres_financiero_stl.L0=0.0094504334846; D.nfci_chicago.L0=0.0286151595647; D.anfci_chicago.L0=-0.040939075926; D.ln_brent_global.L0=-0.12676615773; D.ln_commodities_global.L0=0.188288976784; D.desempleo_us_pct.L0=0.00769635319643; D.ln_empleo_manufactura_us.L0=1.25655964324; D.ln_produccion_industrial_us.L0=-1.08864504722; D.ln_fletes_transporte_us.L0=0.205645684525,D.yield_real_10y_tips_pct.L0=0.802613876083; D.yield_real_5y_us_pct.L0=0.581651325478; D.yield_2y_us_pct.L0=0.12651757113; D.yield_10y_us_pct.L0=0.169581895308; D.spread_10y_2y_us_pct.L0=0.126509455336; D.breakeven_5y_us_pct.L0=0.503595272267; D.breakeven_10y_us_pct.L0=0.802812061775; D.epu_global.L0=0.101072521591; D.estres_financiero_stl.L0=0.221459521973; D.nfci_chicago.L0=0.699573393573; D.anfci_chicago.L0=0.451015275811; D.ln_brent_global.L0=0.032563649108; D.ln_commodities_global.L0=0.206173879151; D.desempleo_us_pct.L0=0.631107969832; D.ln_empleo_manufactura_us.L0=0.217026261596; D.ln_produccion_industrial_us.L0=0.142400828668; D.ln_fletes_transporte_us.L0=0.249494338726,17,15,D.yield_real_10y_tips_pct.L0=igual; D.yield_real_5y_us_pct.L0=igual; D.yield_2y_us_pct.L0=igual; D.yield_10y_us_pct.L0=igual; D.spread_10y_2y_us_pct.L0=igual; D.breakeven_5y_us_pct.L0=igual; D.breakeven_10y_us_pct.L0=igual; D.epu_global.L0=igual; D.estres_financiero_stl.L0=igual; D.nfci_chicago.L0=igual; D.anfci_chicago.L0=igual; D.ln_brent_global.L0=igual; D.ln_commodities_global.L0=distinto; D.desempleo_us_pct.L0=distinto; D.ln_empleo_manufactura_us.L0=igual; D.ln_produccion_industrial_us.L0=igual; D.ln_fletes_transporte_us.L0=igual,False,0.17927213934497163,25.243752889582865,1,False,3.6186237162257946
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Términos de intercambio,Sector externo Colombia,0.0286413141647544,0.7146373817053491,D.ln_terminos_intercambio.L0=0.0286413141648,D.ln_terminos_intercambio.L0=0.714637381705,1,1,D.ln_terminos_intercambio.L0=igual,True,0.02198039626704203,2.852285880803754,8,True,-1.2936608996737013
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Remesas,Sector externo Colombia,0.24620266491413095,0.09185892247511578,D.ln_remesas_12m.L1=0.246202664914,D.ln_remesas_12m.L1=0.0918589224751,1,1,D.ln_remesas_12m.L1=igual,True,0.01508018706485194,1.9568803092713756,10,True,0.7854375376508023
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Diferencial de tasas,Política doméstica,0.009967108879373772,0.049751900030270885,D.diferencial_tasas_pp.L1=0.00996710887937,D.diferencial_tasas_pp.L1=0.0497519000303,1,1,D.diferencial_tasas_pp.L1=igual,True,0.0042609143972971355,0.5529175100881641,14,True,0.36954467886115605
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Déficit fiscal,Política doméstica,0.002210224597901296,0.6212157784159023,D.deficit_fiscal_12m_pct_pib.L1=0.0022102245979,D.deficit_fiscal_12m_pct_pib.L1=0.621215778416,1,0,D.deficit_fiscal_12m_pct_pib.L1=distinto,False,0.005999464183142584,0.7785204040030832,13,False,0.6933528476659117
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Dólar amplio,Mercados financieros globales,0.2602163435157592,0.2527509057608431,D.ln_dolar_amplio.L0=0.260216343516,D.ln_dolar_amplio.L0=0.252750905761,1,1,D.ln_dolar_amplio.L0=igual,True,0.0801580794743891,10.401712304885267,4,True,-4.708404202375354
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,VIX,Mercados financieros globales,0.010366579462777116,0.4714282515004918,D.ln_vix.L0=0.0103665794628,D.ln_vix.L0=0.4714282515,1,1,D.ln_vix.L0=igual,True,0.031768343316312536,4.122418722428181,6,True,-1.9777149045834923
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Riesgo soberano EMBIG Colombia,Riesgo local,0.03675882538407707,0.009316432058752615,D.embig_colombia_pp.L0=0.0367588253841,D.embig_colombia_pp.L0=0.00931643205875,1,1,D.embig_colombia_pp.L0=igual,True,0.12176115748134275,15.800335266707787,3,True,1.6803910177896562
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Reservas internacionales,Sector externo Colombia,-0.2789216252529718,0.21995762241553482,D.ln_reservas_netas_sin_flar.L1=-0.278921625253,D.ln_reservas_netas_sin_flar.L1=0.219957622416,1,1,D.ln_reservas_netas_sin_flar.L1=igual,True,0.008274248406316732,1.073707753803666,12,True,-0.8697209460428534
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Balanza comercial cambiaria,Sector externo Colombia,0.03627837906768473,0.04917939573908592,D.asinh_balanza_comercial.L1=0.0362783790677,D.asinh_balanza_comercial.L1=0.0491793957391,1,1,D.asinh_balanza_comercial.L1=igual,True,0.03140443325814357,4.0751959377164155,7,True,-2.2850065635015886
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Flujos netos de capital,Sector externo Colombia,0.0016658138421060502,0.6837950357292769,D.asinh_flujos_capital.L1=0.00166581384211,D.asinh_flujos_capital.L1=0.683795035729,1,1,D.asinh_flujos_capital.L1=igual,True,0.016078951755371704,2.086484998395491,9,True,-1.2020657959257028
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Diferencial de compensación inflacionaria 5 años,Política doméstica,0.015848711900995856,0.02453055924637117,D.diferencial_bei_5y_pp.L1=0.015848711901,D.diferencial_bei_5y_pp.L1=0.0245305592464,1,0,D.diferencial_bei_5y_pp.L1=distinto,False,0.008907325992862045,1.1558590598865346,11,False,0.8560837551077918
Segunda mitad,2016-05-01,2026-04-01,120,0.8153589958427024,0.7474450632790988,Actividad y precios domésticos,Condiciones internas,,,D.ln_ise_total_dane.L0=-0.337344208565; D.ln_ipc_colombia.L0=-0.479861952134,D.ln_ise_total_dane.L0=8.23666873308e-06; D.ln_ipc_colombia.L0=0.24208780252,2,2,D.ln_ise_total_dane.L0=igual; D.ln_ipc_colombia.L0=igual,True,0.03567597558450094,4.629492580902655,5,True,2.613314346905512
