factor,grupo,peso_puntual_pct,peso_bootstrap_media_pct,peso_bootstrap_mediana_pct,ic_95_inferior_pct,ic_95_superior_pct,probabilidad_top3_pct,replicas_validas,bloque_meses,permutaciones_por_replica,semilla
Monedas regionales,Regional,25.594603599629885,24.328546983499937,23.88024518175093,18.643506630090386,31.12865323759287,100.0,200,12,64,20260823
Variables globales nuevas,Global ampliado,17.331924491246063,18.766472358496816,18.635499214827227,13.10013849702671,25.818062842409997,91.5,200,12,64,20260823
Dólar amplio,Global,16.297499183414153,15.191329169692917,14.96274089060648,9.564518672499936,21.26875395924918,56.99999999999999,200,12,64,20260823
Riesgo soberano EMBIG Colombia,Riesgo local,14.980923124544704,15.442314719286934,14.968473134868464,8.839937311461988,24.16165896348805,51.0,200,12,64,20260823
Balanza comercial cambiaria,Sector externo Colombia,6.840175779250907,6.7475239823968245,6.472552290444673,3.5851219964366408,11.227586776581374,0.0,200,12,64,20260823
VIX,Global,6.706945537381117,6.322994415980366,6.231922416801318,2.848298183945989,11.272375202366348,0.5,200,12,64,20260823
Términos de intercambio,Sector externo Colombia,4.632634055856548,4.534246413894998,4.223916705101857,1.9126644681836988,7.974947724265691,0.0,200,12,64,20260823
Flujos netos de capital,Sector externo Colombia,3.554628603029845,3.549269642014075,3.3880354445631125,1.4273380369654913,6.7319444940528195,0.0,200,12,64,20260823
Reservas internacionales,Sector externo Colombia,2.024995290711485,2.07917730105817,1.7647318942508003,0.36552060988293256,5.236696327217227,0.0,200,12,64,20260823
Remesas,Sector externo Colombia,1.1363545977560385,1.1805398380989762,1.0351218442251966,0.16597844936338235,2.978359437906491,0.0,200,12,64,20260823
Diferencial de compensación inflacionaria 5 años,Política doméstica,0.47351509313355417,0.7755466387652461,0.6072820384600102,0.05754399008840328,2.245915271222503,0.0,200,12,64,20260823
Diferencial de tasas,Política doméstica,0.29931932069560235,0.6807079079407279,0.507041735788116,0.09245066860725848,2.4746059260932682,0.0,200,12,64,20260823
Déficit fiscal,Política doméstica,0.12648132335020867,0.40133062887400905,0.2778396210610228,0.0378417860503888,1.4473807342263818,0.0,200,12,64,20260823
