factor,grupo,terminos,coeficiente_modelo,p_valor_hac,shapley_r2,aporte_r2_puntos_porcentuales,peso_entre_factores_pct,peso_r2_total_pct,r2_base,r2_completo,r2_incremental
Monedas regionales,Regional,factor_monedas_regionales_4.L0,0.01613552608456127,1.4513310794299115e-05,0.15720572481113562,15.720572481113562,23.550610969628767,22.93756843781176,0.017840598007560216,0.6853635128647185,0.6675229148571583
"Condiciones financieras, commodities y actividad internacional",Condiciones financieras y actividad internacional,"D.yield_real_10y_tips_pct.L0, D.yield_real_5y_us_pct.L0, D.yield_2y_us_pct.L0, D.yield_10y_us_pct.L0, D.spread_10y_2y_us_pct.L0, D.breakeven_5y_us_pct.L0, D.breakeven_10y_us_pct.L0, D.epu_global.L0, D.estres_financiero_stl.L0, D.nfci_chicago.L0, D.anfci_chicago.L0, D.ln_brent_global.L0, D.ln_commodities_global.L0, D.desempleo_us_pct.L0, D.ln_empleo_manufactura_us.L0, D.ln_produccion_industrial_us.L0, D.ln_fletes_transporte_us.L0",,,0.1443526925996188,14.435269259961881,21.62512917335707,21.06220857837118,0.017840598007560216,0.6853635128647185,0.6675229148571583
Dólar amplio,Mercados financieros globales,D.ln_dolar_amplio.L0,0.20246635841670926,0.2746337959007322,0.10086349014757873,10.086349014757873,15.11011650726062,14.716787260235696,0.017840598007560216,0.6853635128647185,0.6675229148571583
Riesgo soberano EMBIG Colombia,Riesgo local,D.embig_colombia_pp.L0,0.027788934864407915,0.01037729138282507,0.09425386342658398,9.425386342658399,14.11994424891813,13.752390032060028,0.017840598007560216,0.6853635128647185,0.6675229148571583
Balanza comercial cambiaria,Sector externo Colombia,D.asinh_balanza_comercial.L1,0.05473103077841764,5.6370216742109985e-06,0.04245580912694831,4.245580912694831,6.360202501218004,6.194640994162249,0.017840598007560216,0.6853635128647185,0.6675229148571583
VIX,Mercados financieros globales,D.ln_vix.L0,0.01655872488618192,0.11212948545214291,0.04071978979721002,4.071978979721002,6.100133627011673,5.941341935027632,0.017840598007560216,0.6853635128647185,0.6675229148571583
Términos de intercambio,Sector externo Colombia,D.ln_terminos_intercambio.L0,0.014818866025542513,0.7322280660728413,0.02767514479746962,2.767514479746962,4.1459467804774555,4.038024242316546,0.017840598007560216,0.6853635128647185,0.6675229148571583
Flujos netos de capital,Sector externo Colombia,D.asinh_flujos_capital.L1,0.0005988483452402642,0.8379989374971697,0.02195183011881107,2.195183011881107,3.288550794321194,3.2029470064806413,0.017840598007560216,0.6853635128647185,0.6675229148571583
Actividad y precios domésticos,Condiciones internas,"D.ln_ise_total_dane.L0, D.ln_ipc_colombia.L0",,,0.013458451716293307,1.3458451716293307,2.016178233997143,1.9636953913754411,0.017840598007560216,0.6853635128647185,0.6675229148571583
Reservas internacionales,Sector externo Colombia,D.ln_reservas_netas_sin_flar.L1,-0.2379418863346012,0.04868559473178989,0.01297283190538606,1.297283190538606,1.9434286998465193,1.8928395897764578,0.017840598007560216,0.6853635128647185,0.6675229148571583
Remesas,Sector externo Colombia,D.ln_remesas_12m.L1,0.19704424928876835,0.0571172968252256,0.007819648935005136,0.7819648935005136,1.1714427716205733,1.1409491150645232,0.017840598007560216,0.6853635128647185,0.6675229148571583
Diferencial de compensación inflacionaria 5 años,Política doméstica,D.diferencial_bei_5y_pp.L1,-0.0017153993723854639,0.6793067734463312,0.0020010688524809937,0.2001068852480994,0.29977530477874276,0.2919718973828678,0.017840598007560216,0.6853635128647185,0.6675229148571583
Diferencial de tasas,Política doméstica,D.diferencial_tasas_pp.L1,0.00344860590626238,0.5263794273013872,0.001224055668062622,0.1224055668062622,0.18337283122700812,0.17859947970475545,0.017840598007560216,0.6853635128647185,0.6675229148571583
Déficit fiscal,Política doméstica,D.deficit_fiscal_12m_pct_pib.L1,-0.00012279767701313892,0.9713630496207072,0.0005685129545744997,0.05685129545744997,0.0851675563371715,0.08295057205455822,0.017840598007560216,0.6853635128647185,0.6675229148571583
