factor,grupo,terminos,coeficiente_modelo,p_valor_hac,shapley_r2,aporte_r2_puntos_porcentuales,peso_entre_factores_pct,peso_r2_total_pct,r2_base,r2_completo,r2_incremental
Monedas regionales,Regional,factor_monedas_regionales_4.L0,0.016791886319727008,2.4201630318573355e-05,0.1613931936946274,16.13931936946274,25.594603599629885,24.890390168107622,0.017840598007560216,0.6484156841439255,0.6305750861363653
Variables globales nuevas,Global ampliado,"D.yield_real_10y_tips_pct.L0, D.yield_2y_us_pct.L0, D.yield_10y_us_pct.L0, D.spread_10y_2y_us_pct.L0, D.ln_brent_global.L0, D.ln_commodities_global.L0, D.epu_global.L0, D.estres_financiero_stl.L0, D.ln_empleo_manufactura_us.L0, D.ln_produccion_industrial_us.L0",,,0.10929079778976465,10.929079778976465,17.331924491246063,16.85505154522233,0.017840598007560216,0.6484156841439255,0.6305750861363653
Dólar amplio,Global,D.ln_dolar_amplio.L0,0.18804005794013529,0.40201557168752783,0.10276796951388721,10.276796951388722,16.297499183414153,15.8490875570919,0.017840598007560216,0.6484156841439255,0.6305750861363653
Riesgo soberano EMBIG Colombia,Riesgo local,D.embig_colombia_pp.L0,0.02432786395073244,0.019635174779282887,0.09446596889662043,9.446596889662043,14.980923124544704,14.568735952360509,0.017840598007560216,0.6484156841439255,0.6305750861363653
Balanza comercial cambiaria,Sector externo Colombia,D.asinh_balanza_comercial.L1,0.052372313814326256,3.7885945378825342e-06,0.04313244431189019,4.31324443118902,6.840175779250907,6.651974245323207,0.017840598007560216,0.6484156841439255,0.6305750861363653
VIX,Global,D.ln_vix.L0,0.01948273387583132,0.0756398421232118,0.04229232759946008,4.229232759946008,6.706945537381117,6.522409718589206,0.017840598007560216,0.6484156841439255,0.6305750861363653
Términos de intercambio,Sector externo Colombia,D.ln_terminos_intercambio.L0,-0.03918051446603606,0.2490555738339207,0.029212236188100024,2.9212236188100023,4.632634055856548,4.50517112747938,0.017840598007560216,0.6484156841439255,0.6305750861363653
Flujos netos de capital,Sector externo Colombia,D.asinh_flujos_capital.L1,0.0012918037465933126,0.7216627576036336,0.02241460237538332,2.241460237538332,3.554628603029845,3.456826064436786,0.017840598007560216,0.6484156841439255,0.6305750861363653
Reservas internacionales,Sector externo Colombia,D.ln_reservas_netas_sin_flar.L1,-0.22791251399174417,0.0803667623217672,0.012769115798661287,1.2769115798661288,2.024995290711485,1.969279292730216,0.017840598007560216,0.6484156841439255,0.6305750861363653
Remesas,Sector externo Colombia,D.ln_remesas_12m.L1,0.15425574566931805,0.21530329027230524,0.007165568983614688,0.7165568983614687,1.1363545977560385,1.105088781600814,0.017840598007560216,0.6484156841439255,0.6305750861363653
Diferencial de compensación inflacionaria 5 años,Política doméstica,D.diferencial_bei_5y_pp.L1,-0.00472337540171921,0.2299196811842522,0.0029858682063955994,0.29858682063955994,0.47351509313355417,0.4604867339595138,0.017840598007560216,0.6484156841439255,0.6305750861363653
Diferencial de tasas,Política doméstica,D.diferencial_tasas_pp.L1,-0.003530689821154915,0.47068917666557997,0.001887433064299078,0.1887433064299078,0.29931932069560235,0.2910838078802755,0.017840598007560216,0.6484156841439255,0.6305750861363653
Déficit fiscal,Política doméstica,D.deficit_fiscal_12m_pct_pib.L1,0.00011835863598526732,0.9707975649489807,0.000797559713661993,0.0797559713661993,0.12648132335020867,0.12300129888359745,0.017840598007560216,0.6484156841439255,0.6305750861363653
