factor,grupo,peso_puntual_pct,peso_bootstrap_media_pct,peso_bootstrap_mediana_pct,ic_95_inferior_pct,ic_95_superior_pct,probabilidad_top3_pct,replicas_validas,bloque_meses,permutaciones_por_replica,semilla
Monedas regionales,Regional,30.08385071356464,28.959199189359015,29.188607670988404,20.657848647567132,34.55890340789843,100.0,200,12,64,20260823
Dólar amplio,Global,20.260221834427902,19.048017188432674,18.997144357945707,11.869502396500904,27.43488305903675,98.5,200,12,64,20260823
Riesgo soberano EMBIG Colombia,Riesgo local,18.023984413438367,18.664922483956047,18.437354736114994,12.22622268096614,26.214485882789763,99.0,200,12,64,20260823
VIX,Global,8.41996784947872,8.139805475674661,8.01145124829604,3.137696502157132,13.609826467378303,1.0,200,12,64,20260823
Balanza comercial cambiaria,Sector externo Colombia,7.533784335891188,7.667962295204856,7.502724545549781,3.7185593432171897,12.292417470241455,1.5,200,12,64,20260823
Términos de intercambio,Sector externo Colombia,6.641755317398294,6.243279009773265,6.117197609653386,2.5232768094559668,10.350862846897966,0.0,200,12,64,20260823
Flujos netos de capital,Sector externo Colombia,4.230629937147118,4.319580222834183,3.9870396972210393,1.9038963105708946,7.9033734570245455,0.0,200,12,64,20260823
Reservas internacionales,Sector externo Colombia,2.579403687297956,2.9171933319647514,2.7982046797111013,0.371237520228305,7.6051746457213545,0.0,200,12,64,20260823
Remesas,Sector externo Colombia,1.0798004539453903,1.2711368168058355,1.0983771543746759,0.21839674306586646,3.5807698994754373,0.0,200,12,64,20260823
Diferencial de compensación inflacionaria 5 años,Política doméstica,0.512267592643381,1.3167235772186325,0.8325728403049408,0.09219351953736438,6.185592228428757,0.0,200,12,64,20260823
Diferencial de tasas,Política doméstica,0.51054044626596,0.9575280253331593,0.7980185019150017,0.21702482109826352,2.735556467118776,0.0,200,12,64,20260823
Déficit fiscal,Política doméstica,0.1237934185010477,0.4946523834429144,0.34742086283000373,0.10002483039308434,1.8741976660537323,0.0,200,12,64,20260823
