factor,grupo,terminos,coeficiente_modelo,p_valor_hac,shapley_r2,aporte_r2_puntos_porcentuales,peso_entre_factores_pct,peso_r2_total_pct,r2_base,r2_completo,r2_incremental
Monedas regionales,Regional,factor_monedas_regionales.L0,0.009226509319748825,0.030680193111198396,0.16286463951194338,16.28646395119434,29.126189020507418,28.22563455674481,0.017840598007560216,0.5770096653966108,0.5591690673890506
Dólar amplio,Global,D.ln_dolar_amplio.L0,0.6404114177997474,0.03739351925382885,0.14593496633402833,14.593496633402832,26.098540646292903,25.291598232365676,0.017840598007560216,0.5770096653966108,0.5591690673890506
Spread TES-Treasury 10 años,Riesgo local,D.spread_tes_ust_10y_pp.L0,0.01647488215141476,0.007771831119587659,0.08434134478816198,8.434134478816198,15.083335203426081,14.616972616947324,0.017840598007560216,0.5770096653966108,0.5591690673890506
Petróleo Brent,Global,D.ln_brent.L0,-0.0438602129699816,0.00810984829224481,0.06104664075171608,6.104664075171608,10.917385154504966,10.57982983868309,0.017840598007560216,0.5770096653966108,0.5591690673890506
VIX,Global,D.ln_vix.L0,0.0171819250490077,0.0718824121469531,0.05590260669211837,5.590260669211837,9.997442625563416,9.688331070449816,0.017840598007560216,0.5770096653966108,0.5591690673890506
Reservas internacionales,Sector externo Colombia,D.ln_reservas_netas_sin_flar.L1,-0.41659013459937616,0.002186365941491286,0.01943629709439017,1.9436297094390171,3.4759249443365694,3.3684526031345636,0.017840598007560216,0.5770096653966108,0.5591690673890506
Balanza comercial cambiaria,Sector externo Colombia,asinh_balanza_comercial.L1,0.024744054477852728,0.009909360152528945,0.008338622212218923,0.8338622212218924,1.4912524133630585,1.4451442865324144,0.017840598007560216,0.5770096653966108,0.5591690673890506
Flujos netos de capital,Sector externo Colombia,asinh_flujos_capital.L1,0.010589703323012645,0.001486515543222201,0.00650925923979572,0.6509259239795719,1.164095015160558,1.1281022884290064,0.017840598007560216,0.5770096653966108,0.5591690673890506
Remesas,Sector externo Colombia,D.ln_remesas_12m.L1,0.08410985252499142,0.44294901979880114,0.006247740707291423,0.6247740707291424,1.117325880786689,1.082779211852024,0.017840598007560216,0.5770096653966108,0.5591690673890506
Diferencial de inflación,Política doméstica,diferencial_inflacion_pp.L1,-0.0003648619572341914,0.5797291633192755,0.005158130943175567,0.5158130943175566,0.9224635703224113,0.8939418613776766,0.017840598007560216,0.5770096653966108,0.5591690673890506
Diferencial de tasas,Política doméstica,D.diferencial_tasas_pp.L1,-0.005608499287929893,0.3166863158669803,0.0026213003660208326,0.2621300366020833,0.46878493802609117,0.4542905471469126,0.017840598007560216,0.5770096653966108,0.5591690673890506
Déficit fiscal,Política doméstica,D.deficit_fiscal_12m_pct_pib.L1,0.0009280271191874478,0.7659035177998222,0.0007675187481895806,0.07675187481895807,0.13726058770979324,0.13301661899580527,0.017840598007560216,0.5770096653966108,0.5591690673890506
