modelo,rmse,mae_retorno,r2_vs_caminata_pct,acierto_direccion_pct,sharpe_anualizado,dm_stat,dm_p_valor
XGBoost,0.005589210122845551,0.0037950573226361328,0.38310362501148276,32.4,-0.39126610978746146,0.13793131795045574,0.8904061732300739
Random Forest,0.005589620683827923,0.003762287815399438,0.3684681713180149,30.4,0.04128917994003602,0.19211452891357478,0.8478090764204809
Caminata aleatoria (benchmark),0.005599947216655394,0.0036023624694995746,0.0,50.0,0.0,0.0,1.0
LightGBM,0.005604347149871923,0.003839746814063394,-0.15720368715923527,33.2,-0.5601091455660724,-0.05488939794792655,0.9562705934738991
Lasso (α=5e-5),0.005612228174733564,0.003698583981761143,-0.4390907261553778,31.2,0.0849762022759813,-0.7976355054198466,0.42584202874797494
Elastic Net,0.0056122282122064784,0.0036985823208870363,-0.4390920674214316,31.2,0.0849762022759813,-0.797641714817974,0.4258384310840915
Combinación (inv-MSE),0.005612664629817531,0.0037666305838881956,-0.45471334697138044,32.800000000000004,-0.42200497193788067,-0.37146978417648213,0.7106035457429918
LSTM + Atención temporal,0.00562878574394454,0.0037770815957236365,-1.0326091402716786,30.4,0.7095111976870836,-0.7550705356828616,0.4509202541399637
Ridge (α=1),0.0056389114404016725,0.003827811209824599,-1.3964338605670479,27.6,0.9353231635993301,-0.7935979872144333,0.4281851027056298
OLS (todos los features),0.005663426695338062,0.003893192724308193,-2.2799954808862877,30.8,-0.5369392354718596,-0.9871081079239095,0.3245478508261286
"LSTM (hidden=32, seq=22)",0.005751841577609372,0.0039730356378152795,-5.498422224646271,34.8,-0.2982708968325454,-2.046831471297009,0.04172457758958359
"GRU (hidden=32, seq=22)",0.005883154251202208,0.004074616326017612,-10.370396750179921,33.2,1.0395540326464825,-3.5326013747622964,0.0004902733920277846
