feature,random_forest,xgboost,lightgbm,promedio
vol_trm_22d,0.07072874811687065,0.04382398,130,43.371517575970614
r_vix_L1,0.17843387955199974,0.08259816,95,31.753677345593015
d_embig_L1,0.1122169044324434,0.06092511,93,31.057714005202342
dia_semana,0.05023666472011435,0.056077782,87,29.035438148928264
embig_nivel,0.029334216980707435,0.03470342,80,26.688012545197726
vix_nivel,0.026813735769402214,0.032389835,71,23.686401190097538
r_trm_ma22,0.0874080651491836,0.04383212,68,22.710413394901153
r_dolar_ma22,0.034925390505916996,0.042108253,66,22.025677881050154
r_dolar_ma5,0.04242974384218827,0.043421276,65,21.695283673251968
vol_trm_5d,0.03094193179931169,0.04008132,56,18.69034108342239
dolar_x_vix,0.025270952992990994,0.04860394,54,18.024624964582706
r_trm_L1,0.019821445381988,0.027972732,50,16.682598059040423
vol_dolar_5d,0.025861471798914747,0.045217857,49,16.35702644285457
r_trm_L2,0.03134685696735698,0.04245736,48,16.02460140591388
r_trm_ma5,0.034055463321926334,0.033407144,45,15.022487535856804
r_dolar_L2,0.01911435602595443,0.0460035,44,14.68837261929608
r_trm_L5,0.07808416226593273,0.039333448,40,13.372472536693307
r_dolar_L5,0.005339886525571689,0.03456175,39,13.013300545357763
r_dolar_L1,0.042943319727998086,0.048583195,37,12.363842171447152
r_dolar_L3,0.028703710757057025,0.043500066,29,9.690734592186862
r_trm_L3,0.010958192314962317,0.035577435,23,7.682178542453799
r_vix_L2,0.009876413649949576,0.041088812,19,6.350321741901051
d_embig_L2,0.005154487401258593,0.033731695,19,6.346295394221946
