n_estimators,max_depth,learning_rate,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_samples,mse_cv
100,5,0.01,31,0.6,0.5,0.01,10.0,20,3.7878932615435e-05
100,6,0.005,15,1.0,0.5,0.0,0.0,50,3.7914331230008255e-05
100,5,0.01,15,0.9,0.8,0.01,5.0,50,3.7917657261169206e-05
100,-1,0.01,7,1.0,0.7,0.01,5.0,20,3.793288344131324e-05
50,6,0.01,7,0.8,1.0,0.1,0.1,10,3.793523235575781e-05
200,-1,0.005,15,0.6,0.8,0.0,0.1,50,3.793968054640798e-05
100,2,0.01,31,0.7,0.5,0.0,0.1,100,3.79586620035011e-05
50,4,0.005,7,1.0,0.8,0.1,10.0,100,3.7973046546737056e-05
100,2,0.01,31,0.8,0.7,0.01,5.0,50,3.797444155391788e-05
50,-1,0.005,7,1.0,0.6,0.0,5.0,10,3.79941586960795e-05
50,-1,0.01,31,1.0,1.0,5.0,5.0,100,3.801382773168175e-05
300,3,0.01,7,0.6,0.6,5.0,1.0,10,3.801382773168175e-05
50,3,0.005,63,0.8,1.0,5.0,0.1,50,3.801382773168175e-05
50,5,0.1,15,0.8,0.8,5.0,1.0,20,3.801382773168175e-05
50,4,0.01,63,0.9,0.5,5.0,0.0,10,3.801382773168175e-05
50,5,0.03,31,0.8,0.7,5.0,5.0,100,3.801382773168175e-05
100,2,0.005,31,0.7,1.0,5.0,1.0,10,3.801382773168175e-05
200,2,0.01,7,0.8,1.0,5.0,10.0,100,3.801382773168175e-05
500,3,0.05,31,0.6,0.7,5.0,5.0,50,3.801382773168175e-05
200,4,0.01,63,0.9,0.8,5.0,0.0,20,3.801382773168175e-05
