senal,horizonte,n_oos,r2_oos_pct,correlacion,direccion_pct,dm_p_valor
delta_actividad_us_12m,12,164,12.77814993123777,0.1674552577703396,59.14634146341463,0.006175281486644035
delta_actividad_us_12m,6,170,5.2139831873982745,0.07778727958196631,57.05882352941176,0.07695451608288639
score_macro_momentum,12,147,3.7832557748156304,-0.14670876448477332,56.4625850340136,0.2614309505865706
delta_fed_12m,12,164,2.572643296314847,-0.10405202968331088,54.87804878048781,0.5737277053702958
delta_epu_6m,12,170,2.418808572930309,-0.031158349422947047,56.470588235294116,0.39198647089239724
score_macro_momentum,6,153,2.291590449278458,-0.10022969523491256,55.55555555555556,0.5304341268468877
delta_embig_6m,12,170,0.38494316390558225,-0.11498265668633859,52.352941176470594,0.8928087101348943
z_desv_ma60_pct,12,94,-0.7867819702594758,0.5097721792842642,65.95744680851064,0.9469881680860861
delta_epu_6m,6,176,-0.9036708759340373,0.00902161468533152,55.11363636363637,0.7295400643244352
delta_embig_6m,6,176,-2.479601298211831,-0.08682415060066621,48.86363636363637,0.25024242862665824
momentum_brent_12m,12,164,-2.956320909493715,-0.12545028096049166,48.78048780487805,0.459768618272943
delta_diferencial_6m,12,170,-3.2310322195606256,-0.0903873649734357,52.352941176470594,0.45000940232991304
delta_fed_12m,6,170,-3.350691615512158,-0.062443385162414614,55.294117647058826,0.2663663151042108
momentum_commodities_12m,12,164,-3.3965370970910014,-0.10915731804065351,50.0,0.3816382219877681
delta_yield_2y_12m,12,164,-3.794685123321062,-0.11489040526876236,51.21951219512195,0.4299209358661278
delta_diferencial_6m,6,176,-4.207270054886347,-0.01973726106257248,49.43181818181818,0.3259640503869883
momentum_brent_12m,6,170,-5.338344465725053,-0.08684956109499742,47.05882352941176,0.1747900912464897
delta_yield_real_12m,12,164,-5.586086729568218,-0.03437083230698891,64.02439024390245,0.30530538004333296
momentum_ti_12m_pct,12,164,-6.366779359274899,-0.11631583763383832,53.04878048780488,0.18991500963043406
momentum_ti_12m_pct,6,170,-6.383082329725442,-0.06620207947472921,48.8235294117647,0.1121082086482228
momentum_commodities_12m,6,170,-6.795130967620944,-0.06894515818459421,49.411764705882355,0.09060899288937896
delta_yield_2y_12m,6,170,-8.63681886306642,-0.10019549492867773,49.411764705882355,0.05510669658161049
delta_yield_real_12m,6,170,-9.506361860178458,-0.025330042308870624,58.82352941176471,0.03269738067826378
desv_ma36_pct,12,153,-10.963128128833288,-0.20408776923332822,51.633986928104584,0.05291696631827536
z_desv_trend_lineal_pct,12,82,-19.515989905074214,0.17160822752136096,60.97560975609756,0.1619488813174077
desv_trend_lineal_pct,12,117,-23.053072285232922,-0.09724298982587008,57.26495726495726,0.05559995333208767
desv_ma60_pct,12,129,-32.76821250720576,0.3382220941760133,58.91472868217055,0.06867893997101282
z_desv_ma36_pct,12,118,-36.90983767959417,-0.10295087356017492,57.6271186440678,0.01157234087234138
