n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mse_cv
100,4,0.01,0.8,0.6,0.0,5.0,3.775620762412217e-05
100,5,0.01,0.7,0.8,0.1,1.0,3.776340432128677e-05
200,5,0.01,0.7,1.0,0.0,10.0,3.779052955175591e-05
100,5,0.01,0.7,0.8,0.1,10.0,3.781155263700159e-05
200,4,0.01,0.8,1.0,0.1,1.0,3.7924512430639565e-05
100,2,0.01,0.7,1.0,0.0,5.0,3.797218666353411e-05
200,2,0.01,0.7,1.0,0.1,1.0,3.801595381746493e-05
100,5,0.03,0.8,0.8,0.0,5.0,3.802092801193684e-05
100,2,0.03,0.8,1.0,0.1,10.0,3.8032591458703463e-05
100,3,0.05,0.8,0.6,0.1,1.0,3.804139383877856e-05
200,2,0.01,0.8,0.6,1.0,1.0,3.809276091020336e-05
100,3,0.01,1.0,1.0,0.0,10.0,3.8099907256799285e-05
200,2,0.01,1.0,0.8,1.0,10.0,3.810485226776767e-05
100,5,0.03,0.7,0.6,1.0,1.0,3.81070851353242e-05
200,2,0.03,0.7,0.8,1.0,10.0,3.8111022144016365e-05
100,2,0.05,0.7,0.6,0.0,10.0,3.811851242698394e-05
100,5,0.01,1.0,1.0,1.0,1.0,3.8122719137859964e-05
100,3,0.05,0.8,0.8,1.0,5.0,3.812826377551678e-05
500,2,0.01,1.0,1.0,1.0,5.0,3.8141784888991576e-05
100,5,0.03,0.8,0.8,1.0,10.0,3.8144586283813475e-05
