feature,importance
r_vix_L1,0.07886241
vol_dolar_5d,0.066397354
d_embig_L1,0.061941538
r_trm_ma22,0.053202383
r_dolar_L1,0.05074405
dia_semana,0.04723436
dolar_x_vix,0.0470808
r_trm_L5,0.046454545
vol_trm_5d,0.04603219
vol_trm_22d,0.045663875
r_dolar_ma22,0.044885393
vix_nivel,0.04484261
r_trm_ma5,0.043642882
r_dolar_ma5,0.043604534
embig_nivel,0.03717217
r_trm_L3,0.03677568
r_dolar_L3,0.03663162
r_trm_L1,0.03399333
d_embig_L2,0.033416323
r_dolar_L2,0.029192014
r_vix_L2,0.028679918
r_trm_L2,0.023752436
r_dolar_L5,0.019797644
