agregacion,variable,transformacion,prueba,deterministico,hipotesis_nula,n,estadistico,p_valor,rezagos,fecha_quiebre,critico_5_pct
Medias mensuales separadas,diferencial_bei_5y_pp,nivel,ADF,constante,raiz_unitaria,244,-3.341150215,0.0131363167,1,,-2.873558511
Medias mensuales separadas,diferencial_bei_5y_pp,nivel,KPSS,constante,estacionariedad,244,0.3040335176,0.1,9,,0.463
Medias mensuales separadas,diferencial_bei_5y_pp,nivel,ADF,constante_tendencia,raiz_unitaria,244,-3.377747252,0.05443280921,1,,-3.428789643
Medias mensuales separadas,diferencial_bei_5y_pp,nivel,KPSS,constante_tendencia,estacionariedad,244,0.2771566599,0.01,9,,0.146
Medias mensuales separadas,diferencial_bei_5y_pp,nivel,Zivot-Andrews,constante_con_quiebre,raiz_unitaria_con_quiebre,244,-4.793994188,0.05310397816,1,2021-11-01,-4.81067
Medias mensuales separadas,diferencial_bei_5y_pp,nivel,Zivot-Andrews,constante_tendencia_con_quiebre,raiz_unitaria_con_quiebre,244,-4.872944391,0.08880880722,1,2009-01-01,-5.07332
Medias mensuales separadas,diferencial_bei_5y_pp,primera_diferencia,ADF,constante,raiz_unitaria,243,-11.27020455,1.543594924e-20,1,,-2.873608705
Medias mensuales separadas,diferencial_bei_5y_pp,primera_diferencia,KPSS,constante,estacionariedad,243,0.05972588778,0.1,6,,0.463
Medias mensuales separadas,diferencial_bei_5y_pp,primera_diferencia,ADF,constante_tendencia,raiz_unitaria,243,-11.24178725,7.863134327e-18,1,,-3.428866245
Medias mensuales separadas,diferencial_bei_5y_pp,primera_diferencia,KPSS,constante_tendencia,estacionariedad,243,0.02785936073,0.1,6,,0.146
Medias mensuales separadas,diferencial_bei_5y_pp,primera_diferencia,Zivot-Andrews,constante_con_quiebre,raiz_unitaria_con_quiebre,243,-11.40582637,1e-05,1,2009-02-01,-4.81067
Medias mensuales separadas,diferencial_bei_5y_pp,primera_diferencia,Zivot-Andrews,constante_tendencia_con_quiebre,raiz_unitaria_con_quiebre,243,-11.50895789,0.0008416505466,1,2023-01-01,-5.07332
Fechas diarias comunes,diferencial_bei_5y_comun_pp,nivel,ADF,constante,raiz_unitaria,244,-3.299255736,0.01491177592,1,,-2.873558511
Fechas diarias comunes,diferencial_bei_5y_comun_pp,nivel,KPSS,constante,estacionariedad,244,0.3038202075,0.1,9,,0.463
Fechas diarias comunes,diferencial_bei_5y_comun_pp,nivel,ADF,constante_tendencia,raiz_unitaria,244,-3.336021358,0.06054115607,1,,-3.428789643
Fechas diarias comunes,diferencial_bei_5y_comun_pp,nivel,KPSS,constante_tendencia,estacionariedad,244,0.2774597411,0.01,9,,0.146
Fechas diarias comunes,diferencial_bei_5y_comun_pp,nivel,Zivot-Andrews,constante_con_quiebre,raiz_unitaria_con_quiebre,244,-4.73511877,0.06406284535,1,2021-11-01,-4.81067
Fechas diarias comunes,diferencial_bei_5y_comun_pp,nivel,Zivot-Andrews,constante_tendencia_con_quiebre,raiz_unitaria_con_quiebre,244,-4.910080617,0.07982568522,1,2009-01-01,-5.07332
Fechas diarias comunes,diferencial_bei_5y_comun_pp,primera_diferencia,ADF,constante,raiz_unitaria,243,-11.76929838,1.099691157e-21,0,,-2.873558511
Fechas diarias comunes,diferencial_bei_5y_comun_pp,primera_diferencia,KPSS,constante,estacionariedad,243,0.05745705189,0.1,6,,0.463
Fechas diarias comunes,diferencial_bei_5y_comun_pp,primera_diferencia,ADF,constante_tendencia,raiz_unitaria,243,-11.7486477,1.000912704e-18,0,,-3.428789643
Fechas diarias comunes,diferencial_bei_5y_comun_pp,primera_diferencia,KPSS,constante_tendencia,estacionariedad,243,0.02861198233,0.1,6,,0.146
Fechas diarias comunes,diferencial_bei_5y_comun_pp,primera_diferencia,Zivot-Andrews,constante_con_quiebre,raiz_unitaria_con_quiebre,243,-11.81601881,1e-05,0,2022-10-01,-4.81067
Fechas diarias comunes,diferencial_bei_5y_comun_pp,primera_diferencia,Zivot-Andrews,constante_tendencia_con_quiebre,raiz_unitaria_con_quiebre,243,-11.91424722,0.0008290119565,0,2023-01-01,-5.07332
