variable,transformacion,n,adf_estadistico,adf_p,adf_rezagos,kpss_estadistico,kpss_p
ln_trm,nivel,244,-0.9830678205378037,0.7593897217357208,1,1.9742293566265932,0.01
ln_trm,primera_diferencia,243,-11.745300998776155,1.2456149710377765e-21,0,0.129921498750035,0.1
ln_terminos_intercambio,nivel,244,-2.0764914454208285,0.25407195884247474,0,0.21075989062524578,0.1
ln_terminos_intercambio,primera_diferencia,243,-14.479183159902403,6.414520627780299e-27,0,0.06679702113236356,0.1
ln_remesas_12m,nivel,244,1.6448989717869995,0.99798621626656,13,2.078890294373042,0.01
ln_remesas_12m,primera_diferencia,243,-4.631700848954859,0.00011286285754458126,2,0.3213722223498939,0.1
diferencial_tasas_pp,nivel,244,-2.932782232352109,0.041666525075246125,4,0.1499946175857981,0.1
diferencial_tasas_pp,primera_diferencia,243,-4.394716711033061,0.00030328885120092374,3,0.058388526146108066,0.1
deficit_fiscal_12m_pct_pib,nivel,244,-1.955309330310248,0.3065053946526129,0,1.3418922501227946,0.01
deficit_fiscal_12m_pct_pib,primera_diferencia,243,-15.880955457887152,8.759313860264154e-29,0,0.0525732780697349,0.1
ln_dolar_amplio,nivel,244,-1.2000631753146107,0.6735685349165561,1,1.9690196439627836,0.01
ln_dolar_amplio,primera_diferencia,243,-10.166322841647677,7.282951599038886e-18,0,0.09611315770471171,0.1
ln_vix,nivel,244,-4.478194746429898,0.00021527036972252152,0,0.17200899474705167,0.1
ln_vix,primera_diferencia,243,-12.989838432765252,2.8276229018666793e-24,1,0.05050536286365415,0.1
embig_colombia_pp,nivel,244,-3.4070236914026677,0.010721752118990832,1,0.6910865472533331,0.014355768431515174
embig_colombia_pp,primera_diferencia,243,-12.792670993796778,7.022409543207317e-24,0,0.027443014077240292,0.1
ln_reservas_netas_sin_flar,nivel,244,-3.2754732455295215,0.016011057117075313,1,2.103662394457461,0.01
ln_reservas_netas_sin_flar,primera_diferencia,243,-10.038389577273737,1.5190819173480342e-17,0,0.8278384681596641,0.01
asinh_balanza_comercial,nivel,244,-0.826333786735681,0.811264081613728,4,2.029481510290614,0.01
asinh_balanza_comercial,primera_diferencia,243,-12.236672338157181,1.0244088265453673e-22,3,0.13831430190768174,0.1
asinh_flujos_capital,nivel,244,-0.5111787624352627,0.8898165130942963,5,2.180823721122012,0.01
asinh_flujos_capital,primera_diferencia,243,-11.989406812348331,3.5499930862600525e-22,4,0.5000000000000011,0.04166666666666642
diferencial_bei_5y_pp,nivel,244,-3.3411502152767967,0.013136316697663495,1,0.30403351764484754,0.1
diferencial_bei_5y_pp,primera_diferencia,243,-11.270204552691887,1.5435949238674774e-20,1,0.05972588778441204,0.1
