termino,media,std,coef_variacion,min,max,cambios_signo,t_stat_mitades,p_valor_mitades,inestable_5pct
const,0.0029216694375305487,0.0009813669685212482,0.33589254003721875,0.0006795273914498466,0.005204766727387587,0,-4.9076336899005515,2.9922203835678944e-06,True
D.ln_terminos_intercambio.L0,-0.09946996663944088,0.015184642437088641,0.15265554971110015,-0.12791029215861868,-0.06347640406323024,0,-4.158238700962714,6.135272146393215e-05,True
D.ln_remesas_12m.L1,0.058777786300448685,0.0378908777029794,0.6446462190545301,-0.052312754859119265,0.16373582578632928,6,-1.7058394754198747,0.09066881912100737,False
D.diferencial_tasas_pp.L1,-0.004270855480713248,0.003619301563910542,0.8474418252396837,-0.012296083136563272,0.0016884024428729417,6,-3.1737937893767163,0.0019350444312350593,True
D.deficit_fiscal_12m_pct_pib.L1,-0.0015724300692982233,0.005194768681634622,3.3036564124934666,-0.009709467386177067,0.005180567533257529,1,-29.21620884580521,1.6187243281350116e-55,True
D.ln_dolar_amplio.L0,0.3404988421141398,0.1321588614765504,0.3881330716309719,-0.013900549324368287,0.6050363093684512,2,0.888177815987442,0.37715342056381307,False
D.ln_vix.L0,0.005078782128592489,0.0062871227779704225,1.2379193709797527,-0.008336001345591131,0.014602092482853345,4,-17.1423668546647,6.500700682100265e-31,True
D.embig_colombia_pp.L0,0.01986671614704175,0.0074795730864114654,0.3764876404863322,-0.0006636984719351757,0.03146498241519895,2,-9.694279219986061,1.079857356662501e-16,True
D.ln_reservas_netas_sin_flar.L1,-0.10080021717859232,0.0887089217935025,0.8800469312117937,-0.4022998739772842,0.08571136862025452,6,0.39902446295967353,0.6907394139168936,False
D.asinh_balanza_comercial.L1,0.047536485164481036,0.005442181007170657,0.11448429534367469,0.02842310408123966,0.057663935147976936,0,-1.351833667025916,0.17943086069226885,False
D.asinh_flujos_capital.L1,-0.00252968854684687,0.004614217363656296,1.824025874413547,-0.01227645478317748,0.004747521523437062,1,-15.965604224631305,3.6370585407717304e-31,True
D.diferencial_bei_5y_pp.L1,-0.004555824634339084,0.006458229216681768,1.4175763412848457,-0.015123482605093674,0.006383419172705156,1,-11.602644686789013,1.121206397169853e-20,True
factor_monedas_regionales_4.L0,0.0169248429660119,0.001834592102822184,0.10839640323436807,0.011341601730922267,0.019936629454481346,0,-2.506310432811686,0.013879348145680247,True
dummy_pandemia_2020,-0.006950805726085907,0.007222042236232869,1.0390223120650646,-0.020756545632288192,0.0,1,16.67973473663265,8.173599900130759e-30,True
